Title,Subtitle,Product Description
Nike Air Force 1 '07,Men's Shoes,"It doesn't get more legendary than this. Designed to turn heads, the Nike Air Force 1 '07 crosses hardwood comfort with off-court flair. Its crisp leather upper looks sleek and fresh, while lustrous Swoosh logos give off an almost iridescent look to add the perfect amount of flash to make you shine. Consider them a slam dunk."
Nike Air Max Dawn SE,Men's Shoes,"Find out what moves you with the Air Max Dawn. Rooted to sporty athletics DNA, these kicks combine durable textile and fun branding to bring to life our fictional ""NIKE MOVING CO."". Simple, versatile and cushioned with Nike Air—you can't go wrong starting your day off in these comfy sneakers. So where to next?"
Nike SB Dunk Low Pro Premium,Skate Shoes,"Pack your style—on your feet. Bringing a fresh twist to the iconic skate shoes, waxed canvas underlays and throwback branding nod to your favourite '90s backpack. Hidden details like the how-to guide on the sockliner remind you to go for it, while suede overlays and gum rubber sole let you transport yourself with A+ style."
Nike Air Force 1 Mid '07 LX,Men's Shoes,"The celebrations just keep coming. Unbox the AF-1 for a fireside feel and a whole lotta style. The joyful take on the hoops icon pairs crisp leather with seasonally perfect prints and colours. And don't worry—even if you've been naughty, you're gonna look nice."
Nike Air Force 1 Mid '07,Men's Shoes,"Got your fave colour yet? No worries, the Colour of the Month programme lets you feed your need while celebrating a little-known piece of AF-1 history. From pristine materials to the jewelled Swoosh, it delivers coveted colours alongside '80s-inspired construction and nothin'-but-net style. It even comes with a cleaning brush to help keep your sneakers fresh. Oh, and while there○s no need to fly, drive or bus it to Baltimore to get these kicks, we want to shout out the city that helped save the AF-1."
Air Jordan 1 Zoom CMFT 2,Men's Shoes,"Premium suede and Jordan Brand's signature Formula 23 foam come together to give you an extra luxurious (and extra cosy) AJ1. You don't need to play ""either or"" when it comes to choosing style or comfort with this one—which is nice, 'cause you deserve both."
Nike Air Force 1 '07,Men's Shoes,"The radiance lives on with the b-ball original. Crossing hardwood comfort with off-court flair, it puts a fresh spin on what you know best: era-echoing, '80s construction and nothing-but-net style."
Nike Air Force 1 '07 LV8,Men's Shoes,"With an aged aesthetic and classic colours, the AF-1 gets a vintage makeover. Crisp leather with a checked pattern on the Swoosh and heel adds a festive feel for easy styling. Pair it with jeans, joggers or whatever else—the timeless look is the perfect match for any outfit."
Air Jordan 1 Retro High OG,Men's Shoes,"3 + 1 = a whole new icon. Celebrating 35 years of the Air Jordan 3, these kicks combine the classic AJ1 silhouette with an original AJ3 colourway. Crafted to the '85 specs, it's got premium leather, a high-top collar and the woven tongue label you know and love. Bold splashes of True Blue throughout (check out the Wings logo) stand out against layers of white and Cement Grey. And the finishing touch? Nike Air cushioning underfoot lets you keep pace, so nothing holds you back from stepping out in style."
Nike Pegasus FlyEase,Men's Easy On/Off Road Running Shoes,"Let the Nike Pegasus FlyEase, a balanced and energised ride for any run, help you ascend to new heights. A supportive sensation helps keep your foot contained, while underfoot Air adds a pop to your step as you transition from heel to toe. Nike FlyEase technology acts as a strap, helping secure the fit. Your trusted workhorse with wings is back. Time to fly."
Air Jordan XXXVII Low PF,Men's Basketball Shoes,"You've got the hops and the speed—lace up in shoes that enhance what you bring to the court. The latest AJ is all about take-offs and landings, with multiple Air units to get you off the ground. The upper is made with strong, reinforced leno-weave fabric that'll keep you contained and leave your game uncompromised. This low-top model is designed for playing on outdoor courts."
Nike Air Force 1 '07 LV8,Men's Shoes,"Find out what moves you in our latest AF-1. Crossing hardwood comfort with off-court flair, it brings you a playful story rooted in Nike's history of getting people moving. The textile upper, bungee-cord laces and embroidered details nod to the fictional ""NIKE MOVING CO."". So, where to next?"
Nike Revolution 6 Next Nature,Men's Road Running Shoes,"Here's to new beginnings between you and the tarmac. Lace up the 100% recycled laces and set the pace at the start of your running journey with the plush feel of the Nike Revolution 6 Next Nature. We know comfort is key to a successful run, so we made sure your steps are cushioned and flexible for a soft ride. It's an evolution of a favourite, with a breathable design made with at least 20% recycled content by weight."
Nike Infinity React 3 Premium,Men's Road Running Shoes,"With soft and supportive cushioning, built to help keep you on the run, the Infinity React 3 is here to help get you moving. Regardless of whether your pace is snail-like or lickety-split, it helps keep you on the go. Expressive, playful graphics remind you fun can be found in every stride, even when those heavy miles won't run themselves. So go ahead, put 1 foot in front of the other, we've got you."
Nike Air Force 1 '07,Men's Shoes,"The radiance lives on in the Nike Air Force 1 '07, the basketball original that puts a fresh spin on what you know best: durably stitched overlays, clean finishes and the perfect amount of flash to make you shine."
Nike Air Max Alpha Trainer 5,Men's Training Shoes,"Finish your last rep with power and rack it with a roar that stuns the gym floor in the Nike Air Max Alpha Trainer 5. Max Air cushioning offers comfortable stability for lifting whether it's a light or heavy day. A wide, flat base gives you enhanced stability and grip for all kinds of tough workouts without sacrificing style, as you roam from station to station and set to set."
Nike Pegasus 39,Men's Road Running Shoes,"Let the Nike Pegasus 39 help you ascend to new heights. More lightweight up top than the Pegasus 38 and ideal to wear in any season, it has a supportive sensation to help keep your feet contained, while underfoot cushioning and double Zoom Air units (1 more than the Peg 38) give you an extra pop to your step. Your trusted workhorse with wings is back. Time to fly."
Nike Air Max 97 OG,Men's Shoes,Push your style full speed ahead with the Nike Air Max 97 OG. Its iconic design takes inspiration from water droplets and Japanese bullet trains. Full-length Nike Air cushioning lets you ride in first-class comfort.
Nike Waffle One SE,Men's Shoes,"What moves you? Find out in the Waffle One, which celebrates our history of moving people. Suede accents, durable textile and playful bungee cord details nod to our fictional ""NIKE MOVING CO"". Its Waffle outsole and springy midsole (with classic wedge shape) keep you going. So where to next?"
Nike Air Max Excee,Men's Shoe,"Inspired by the Nike Air Max 90, the Nike Air Max Excee is a celebration of a classic through a new lens. Elongated lines and distorted proportions on the upper bring the '90s look you love into a new, modern space."
Nike E-Series 1.0,Men's Shoes,"Supercharge simplicity with the Nike E-Series 1.0. From the easy-to-style colours to the plush materials, including a padded collar and foam midsole, it's your invitation to get going. And for the finishing touch, the outsole pattern is inspired by zen sand gardens. Go ahead—find your calm place."
"Nike Air Deldon ""Legacy""",Easy On/Off Basketball Shoes,"Elena Delle Donne's debut basketball shoe invites everyone to step in and take a shot at the game. Made for all athletes of all abilities, it has a collapsible heel and a large strap, so you can get in and lock in with one hand. Full-length Nike Air cushioning plus a forefoot Zoom Air unit give you an optimal blend of bounce and energy return to help you feel fresh all game long. This '80s-basketball-era look draws inspiration from Elena's basketball journey and blends it with 1 of her favourite chapters in Nike basketball lore."
Nike Air Trainer 1,Men's Shoes,"From the gym to the court and everywhere in between, the famed cross-trainer from '87 lets you travel without a glitch. Design details nod to the original (like the forefoot strap), while premium suede ages to perfection. Oh, and Nike Air cushioning and a mid-cut collar keep you comfortable for today's adventures. So, where to next?"
Nike Air Penny 2,Men's Shoes,"Flash back to '96 in the Air Penny 2. Bold and unmistakable, it was the first Air Penny to combine Max and Zoom Air technology. Now, the daring design comes wrapped in patent leather, while the signature 1 Cent logo on the side and the wavy design lines keep the coveted off-court appeal strong."
NikeCourt Zoom Vapor Cage 4 Rafa,Men's Hard Court Tennis Shoes,"Innovated to withstand your toughest matches, this updated design puts flexible, durable materials exactly where they're needed most. Signature Rafael Nadal details let you rep your favourite player while you run the court."
Nike Air Max 97 SE,Men's Shoes,"Find out what moves you in the Nike Air Max 97. Our iconic design, originally inspired by Japanese bullet trains, now tells a playful story rooted in our history of moving people. The textile upper, hemp accents and snail-trail stitching nod to our fictional ""NIKE MOVING CO."". And to top it off on the bottom, visible Nike Air cushioning lets you ride in first-class comfort. So, where next?"
Jordan Why Not .6 x Honor The Gift® PF,Men's Shoes,"Honour your gift. From dunks and dimes to off-court 'fits, the Why Not .6 makes every moment the right one to show off your game. Colours and graphics invite you into the world of Russell Westbrook, paying tribute to his on-court domination and off-court persona. Exposed foam and a mix of tumbled leather and suede boost the vintage vibes. The patchwork insole is emblazoned with classic hoops iconography, while woven mesh on the upper lets you check out the interior tech. Custom tongue labels bring the final stamp of approval—lace up and let your presence be known."
Nike Air Zoom Flight 95,Men's Shoes,"Have you ever had déjà shoe? Flash back to one of the first shoes to popularise Zoom Air technology and relive the hoops revolution. With its flowing lines, patent leather accents and futuristic 'bug eye' detailing, the Air Zoom Flight 95 is no dream—it's your ticket to turn heads."
Nike Pegasus 39 Premium,Men's Road Running Shoes,"Featuring a balanced and energised ride for any run, the Pegasus 39 Premium is here to help get you moving. Regardless of whether your pace is snail-like or lickety-split, bold colours in this Peg 39 help keep you on the go. Zoom Air and a supportive sensation work with expressive, playful graphics to remind you fun can be found in every stride, even when those heavy miles won't run themselves. So go ahead, put 1 foot in front of the other. We've got you."
Nike Invincible 3,Men's Road Running Shoes,"With maximum cushioning to support every mile, the Invincible 3 gives you our highest level of comfort underfoot to help you stay on your feet today, tomorrow and beyond. Designed to help keep you on the run, it's super springy and bouncy so that you can propel down your preferred path and come back for your next run feeling ready and reinvigorated."
Nike Zoom Fly 5,Men's Road Running Shoes,Bridge the gap between your weekend training run and race day in a durable design that can be deployed not just at the starting line of your favourite race but in the days and months after your conquest. It offers comfort and reliability but with a propulsive sensation that'll help you feel fast and fresh. That kind of versatility is uncommon in the running arena. But who said you can't have it all?
Nike Air More Uptempo '96,Men's Shoes,"More than perhaps any other silhouette, the Air More Uptempo encapsulates '90s basketball flavour at its finest. Big and loud, the unapologetic design represents a hybrid of style and innovation that made major waves when it debuted—and still turns heads today. This crafted take keeps it simple and easy to style in classic black and white, while pops of blue add a breath of fresh air. Speaking of air, the graffiti-style AIR graphic (an off-court fave) extends down the midsole for extra punch. Visible Nike Air cushioning finishes it off, giving you the edge in comfort."
Jordan Why Not .6 PF,Men's Shoes,"Russell Westbrook's 6th signature shoe is—you guessed it—all about speed. To get you goin' as fast as possible, we've wrapped the rubber outsole nearly up to the midsole, so you're not gonna slip when you explode from 0 to 100. Added security comes from the interior bootie that keeps you strapped in as you jet across the court. It's all held together by an outer shroud and fastened with a zip collar that spells out Russell's signature question: ""Why Not?"""
Nike Offcourt,Men's Slides,"Cheer your team to victory with the Nike Offcourt Slides. Brazil-inspired graphics and colours let you rep your squad. And if that's not enough, the innovative foam midsole lets you slide from the streets to the bleachers to the beaches in all-star comfort."
Air Jordan 1 Mid,Men's Shoes,"Inspired by the original AJ1, this mid-top edition maintains the iconic look you love while choice colours and crisp leather give it a distinct identity."
Air Jordan 1 Mid SE Craft,Men's Shoes,"Reinvent an icon in the AJ1 Craft. The upper is made from canvas and leather for a unique take on the kicks you know and love, while an exposed edge around the collar adds even more texture to your look. And as always, they're made for everyday wear with classic cupsole construction and always-satisfying Air in the sole."
Nike Dunk Low Retro Premium,Men's Shoes,"Come, come to the cauldron where vintage hoops style boils and bubbles. Watch shadows creep from beneath the Swoosh. Like eyes peering out from the dark, dark night, the reflective-design upper brings a trick-or-treater shine. Lace up and beware, this basketball icon is sure to bring a little scare."
Nike Air Force 1 '07 LV8,Men's Shoes,"Vintage details elevate an icon to bring you timeless style that's easy to wear. Real and synthetic leather give these kicks a classic feel, while layered Swoosh logos and exposed foam on the tongue add a retro look. Of course, some things never change: Nike Air units still cushion your every step."
Nike Alphafly 2,Men's Road Racing Shoes,"Once you take a few strides in the Nike Alphafly 2, you'll never look at your favourite pair of old racing shoes in the same way. These rocket ships are made to help shave precious time off your personal records without surrendering the foundation you need to go the full distance. A thick, lightweight support system brings comfort and speed together so you can enjoy our greatest energy return while you chase your personal bests."
Air Jordan 1 Mid SE,Men's Shoes,Get that Jordan energy on your feet this festive season. Rich grain leather with bright details make this pair shine like festive lights.
Nike SB Force 58,Skate Shoes,"The latest and greatest innovation to hit the streets, the Force 58 gives you the durability of a cupsole with the flexibility of vulcanised shoes. Made from canvas and suede and finished with perforations on the toe, the whole look is infused with heritage basketball DNA."
Nike SB Blazer Court Mid Premium,Skate Shoes,"With its tonal design and classic materials, the Blazer Court Mid updates the retro hoops vibe for skate. Its reinforced ollie zone and flexible sole help it last through your toughest sessions."
Nike SB Chron 2 Canvas,Skate Shoe,The Nike SB Chron 2 Canvas is the newest member of the Chron family.The revamped design includes a reshaped collar and heel for an improved fit—all while maintaining the comfort and performance you expect from Nike SB.
Nike SB Nyjah 3,Skate Shoes,Light. Effortless. On point. The Nyjah 3 delivers the next iteration of the skate shoe that's as extraordinary as Nyjah. Zoom Air technology in the heel pairs with a honeycomb outsole that's grippy yet featherlight.
Nike SB Ishod Wair Premium,Skate Shoes,"When it came time to build his signature shoe, Ishod Wair was all in from start to finish. Infused with elements taken from the iconic hoops shoes of the '90s, (did you know that basketball was Ishod's 1st love?) and built with all the durability you need to skate hard—seriously, check out that new cupsole—the Nike SB Ishod Wair walks the line between original style and modern skate innovation."
Nike SB Dunk High Pro PRM,Skate Shoes,"Major league throwback = style that sticks. Celebrating timeless baseball kits and featuring ""gum"" on the Gum outsole, it delivers a dash of sport-inspired irreverence so you can rep your team in your favourite skate shoes."
Nike SB Zoom Blazer Low Pro GT,Skate Shoes,"Rebuilt using insights from Grant Taylor, the Nike SB Zoom Blazer Low Pro GT is a fresh take on a favourite skate shoe. The updated design has higher taping to give you more durability."
Nike SB Nyjah 3 PRM,Skate Shoes,Light. Effortless. On point. The Nyjah 3 delivers the next iteration of the tried-and-tested skate shoe. Incredible Zoom Air cushioning pairs with a honeycombed outsole that's grippy and featherlight so you can skate like the best.
Nike SB Force 58,Skate Shoe,"The latest and greatest innovation to hit the streets, the Nike SB Force 58 gives you the durability of a cupsole with the flexibility of a vulcanised shoe. Made from canvas and suede and finished with perforations, the whole look is infused with heritage basketball DNA."
Nike BRSB,Skate Shoes,"A familiar favourite is reborn in the Nike BRSB. Almost every detail, from the colour-blocking to the sawtooth pattern on the sole, was inspired by the original Nike Cortez. But, because this shoe is built for skate, we added extras where they're needed—like the rubber from the sole that wraps up and over the heel and toe for durability. It also wraps the sides, adding an extra layer to high-use areas, like the ollie zone."
Nike SB Chron 2,Skate Shoe,"Flexible and breathable, the Nike SB Chron 2 is a sequel worthy of its predecessor.The revamped design includes a reshaped collar and heel for an improved fit—all while maintaining the comfort and performance you expect from Nike SB."
Nike SB Ishod Wair,Skate Shoes,"When it came time to build his signature shoe, Ishod Wair was all-in from start to finish.Infused with elements taken from the iconic hoops shoes of the '90s, (did you know that basketball was Ishod's first love?) and built with all the durability you need to skate hard—seriously, check out that new cupsole—the Nike SB Ishod Wair walks the line between original style and modern skate innovation."
Nike SB Ishod Premium,Skate Shoes,"When it came time to build his signature shoe, Ishod Wair was all in from start to finish. Infused with elements taken from the iconic hoops shoes of the '90s (did you know basketball was Ishod's first love?), it walks the line between classic style and modern skate innovation. Plus, it's built with all the durability you need to skate hard—seriously, check out that new cupsole."
Nike SB Force 58 Premium,Skate Shoes,"The latest and greatest innovation to hit the streets, the Force 58 gives you the durability of a cupsole with the flexibility of vulcanised shoes. Hidden details (like the how-to guide on the sockliner) add a playful twist inspired by getting outside. To top it off, textile materials and throwback branding are reminiscent of your favourite '90s backpacks."
